date,rank,usage_percent,usage_amount,total,rating,format,pokemon
2019-12,66,1.6059,35911,1118098,0,vgc,Rillaboom
2019-12,59,1.61674,35911,1118098,1500,vgc,Rillaboom
2019-12,60,1.50581,35911,1118098,1630,vgc,Rillaboom
2019-12,60,1.2281,35911,1118098,1760,vgc,Rillaboom
2020-01,72,1.30538,38602,1478572,0,vgc,Rillaboom
2020-01,68,1.2868600000000001,38602,1478572,1500,vgc,Rillaboom
2020-01,72,0.81796,38602,1478572,1630,vgc,Rillaboom
2020-01,74,0.6947399999999999,38602,1478572,1760,vgc,Rillaboom
2020-02,66,1.4089,31090,1103345,0,vgc,Rillaboom
2020-02,62,1.33607,31090,1103345,1500,vgc,Rillaboom
2020-02,59,1.34772,31090,1103345,1630,vgc,Rillaboom
2020-02,68,0.9325899999999999,31090,1103345,1760,vgc,Rillaboom
2020-03,95,0.8750100000000001,21720,1241124,0,vgc,Rillaboom
2020-03,91,0.7890199999999999,21720,1241124,1500,vgc,Rillaboom
2020-03,71,0.93865,21720,1241124,1630,vgc,Rillaboom
2020-03,75,0.62727,21720,1241124,1760,vgc,Rillaboom
2020-04,82,1.0913700000000002,24610,1127483,0,vgc,Rillaboom
2020-04,78,1.03136,24610,1127483,1500,vgc,Rillaboom
2020-04,72,0.98415,24610,1127483,1630,vgc,Rillaboom
2020-04,57,1.27106,24610,1127483,1760,vgc,Rillaboom
2020-05,76,1.30253,31402,1205426,0,vgc,Rillaboom
2020-05,72,1.2902799999999999,31402,1205426,1500,vgc,Rillaboom
2020-05,62,1.2514100000000001,31402,1205426,1630,vgc,Rillaboom
2020-05,52,1.52745,31402,1205426,1760,vgc,Rillaboom
2020-06,2,24.20423,690800,1427023,0,vgc,Rillaboom
2020-06,2,26.13486,690800,1427023,1500,vgc,Rillaboom
2020-06,2,27.90452,690800,1427023,1630,vgc,Rillaboom
2020-06,3,26.11156,690800,1427023,1760,vgc,Rillaboom
2020-06,2,24.20423,690800,1427023,0,vgc,Rillaboom
2020-06,2,26.13486,690800,1427023,1500,vgc,Rillaboom
2020-06,2,27.90452,690800,1427023,1630,vgc,Rillaboom
2020-06,3,26.11156,690800,1427023,1760,vgc,Rillaboom
2020-07,1,36.110459999999996,1378300,1908450,0,vgc,Rillaboom
2020-07,1,38.52442,1378300,1908450,1500,vgc,Rillaboom
2020-07,2,40.807990000000004,1378300,1908450,1630,vgc,Rillaboom
2020-07,3,41.15017,1378300,1908450,1760,vgc,Rillaboom
2020-08,1,24.569679999999998,765996,1558824,0,vgc,Rillaboom
2020-08,1,26.96892,765996,1558824,1500,vgc,Rillaboom
2020-08,3,30.25555,765996,1558824,1630,vgc,Rillaboom
2020-08,3,29.989620000000002,765996,1558824,1760,vgc,Rillaboom
2020-09,13,9.80741,192276,980259,0,vgc,Rillaboom
2020-09,8,12.85829,192276,980259,1500,vgc,Rillaboom
2020-09,5,22.31735,192276,980259,1630,vgc,Rillaboom
2020-09,4,23.0219,192276,980259,1760,vgc,Rillaboom
2020-10,8,11.61357,97007,417645,0,vgc,Rillaboom
2020-10,6,14.23599,97007,417645,1500,vgc,Rillaboom
2020-10,4,24.00827,97007,417645,1630,vgc,Rillaboom
2020-10,5,25.37538,97007,417645,1760,vgc,Rillaboom
2020-10,10,13.9173,177023,635982,0,vgc,Rillaboom
2020-10,9,14.56282,177023,635982,1500,vgc,Rillaboom
2020-10,8,17.155079999999998,177023,635982,1630,vgc,Rillaboom
2020-10,9,16.90513,177023,635982,1760,vgc,Rillaboom
2020-10,8,11.61357,97007,417645,0,vgc,Rillaboom
2020-10,6,14.23599,97007,417645,1500,vgc,Rillaboom
2020-10,4,24.00827,97007,417645,1630,vgc,Rillaboom
2020-10,5,25.37538,97007,417645,1760,vgc,Rillaboom
2020-10,10,13.9173,177023,635982,0,vgc,Rillaboom
2020-10,9,14.56282,177023,635982,1500,vgc,Rillaboom
2020-10,8,17.155079999999998,177023,635982,1630,vgc,Rillaboom
2020-10,9,16.90513,177023,635982,1760,vgc,Rillaboom
2020-11,11,15.49871,583859,1883573,0,vgc,Rillaboom
2020-11,11,16.04241,583859,1883573,1500,vgc,Rillaboom
2020-11,8,16.5743,583859,1883573,1630,vgc,Rillaboom
2020-11,8,17.06774,583859,1883573,1760,vgc,Rillaboom
2020-11,11,15.49871,583859,1883573,0,vgc,Rillaboom
2020-11,11,16.04241,583859,1883573,1500,vgc,Rillaboom
2020-11,8,16.5743,583859,1883573,1630,vgc,Rillaboom
2020-11,8,17.06774,583859,1883573,1760,vgc,Rillaboom
2020-11,11,15.49871,583859,1883573,0,vgc,Rillaboom
2020-11,11,16.04241,583859,1883573,1500,vgc,Rillaboom
2020-11,8,16.5743,583859,1883573,1630,vgc,Rillaboom
2020-11,8,17.06774,583859,1883573,1760,vgc,Rillaboom
