date,rank,usage_percent,usage_amount,total,rating,format,pokemon
2014-11,96,0.59912,375,31296,0,vgc,Umbreon
2014-11,104,0.39847,375,31296,1500,vgc,Umbreon
2014-11,131,0.10264,375,31296,1630,vgc,Umbreon
2014-11,143,0.03412,375,31296,1760,vgc,Umbreon
2014-12,89,0.64815,639,49294,0,vgc,Umbreon
2014-12,109,0.28481,639,49294,1500,vgc,Umbreon
2014-12,124,0.09504,639,49294,1630,vgc,Umbreon
2014-12,122,0.06528,639,49294,1760,vgc,Umbreon
2014-12,117,0.69927,3125,223448,0,vgc,Umbreon
2014-12,143,0.37220,3125,223448,1500,vgc,Umbreon
2014-12,136,0.23567,3125,223448,1630,vgc,Umbreon
2014-12,110,0.30229,3125,223448,1760,vgc,Umbreon
2015-01,124,0.60701,7254,597516,0,vgc,Umbreon
2015-01,142,0.32223,7254,597516,1500,vgc,Umbreon
2015-01,163,0.14251,7254,597516,1630,vgc,Umbreon
2015-01,153,0.12300,7254,597516,1760,vgc,Umbreon
2015-02,112,0.71555,6910,482842,0,vgc,Umbreon
2015-02,125,0.40949,6910,482842,1500,vgc,Umbreon
2015-02,142,0.18769,6910,482842,1630,vgc,Umbreon
2015-02,123,0.19717,6910,482842,1760,vgc,Umbreon
2015-03,128,0.58180,4971,427209,0,vgc,Umbreon
2015-03,138,0.32142,4971,427209,1500,vgc,Umbreon
2015-03,168,0.11132,4971,427209,1630,vgc,Umbreon
2015-03,181,0.05594,4971,427209,1760,vgc,Umbreon
2015-04,116,0.66426,5489,413029,0,vgc,Umbreon
2015-04,126,0.35927,5489,413029,1500,vgc,Umbreon
2015-04,131,0.22775,5489,413029,1630,vgc,Umbreon
2015-04,134,0.13426,5489,413029,1760,vgc,Umbreon
2015-05,112,0.73541,6278,426907,0,vgc,Umbreon
2015-05,120,0.39843,6278,426907,1500,vgc,Umbreon
2015-05,145,0.13191,6278,426907,1630,vgc,Umbreon
2015-05,134,0.12020,6278,426907,1760,vgc,Umbreon
2015-06,111,0.66816,6035,451619,0,vgc,Umbreon
2015-06,129,0.33629,6035,451619,1500,vgc,Umbreon
2015-06,124,0.19836,6035,451619,1630,vgc,Umbreon
2015-06,142,0.08963,6035,451619,1760,vgc,Umbreon
2015-07,137,0.48671,4794,492504,0,vgc,Umbreon
2015-07,160,0.22765,4794,492504,1500,vgc,Umbreon
2015-07,203,0.05449,4794,492504,1630,vgc,Umbreon
2015-07,189,0.04368,4794,492504,1760,vgc,Umbreon
2015-08,126,0.57788,5884,509107,0,vgc,Umbreon
2015-08,136,0.29955,5884,509107,1500,vgc,Umbreon
2015-08,173,0.09515,5884,509107,1630,vgc,Umbreon
2015-08,179,0.06238,5884,509107,1760,vgc,Umbreon
2015-09,115,0.68633,6388,465373,0,vgc,Umbreon
2015-09,129,0.36682,6388,465373,1500,vgc,Umbreon
2015-09,144,0.16118,6388,465373,1630,vgc,Umbreon
2015-09,117,0.21115,6388,465373,1760,vgc,Umbreon
2015-10,112,0.72669,6290,432851,0,vgc,Umbreon
2015-10,124,0.39091,6290,432851,1500,vgc,Umbreon
2015-10,165,0.09255,6290,432851,1630,vgc,Umbreon
2015-10,161,0.07620,6290,432851,1760,vgc,Umbreon
2015-11,119,0.75723,5890,388615,0,vgc,Umbreon
2015-11,140,0.38826,5890,388615,1500,vgc,Umbreon
2015-11,188,0.10676,5890,388615,1630,vgc,Umbreon
2015-11,205,0.06819,5890,388615,1760,vgc,Umbreon
2015-12,116,0.83904,2129,126903,0,vgc,Umbreon
2015-12,136,0.45750,2129,126903,1500,vgc,Umbreon
2015-12,157,0.20456,2129,126903,1630,vgc,Umbreon
2015-12,135,0.22354,2129,126903,1760,vgc,Umbreon
2015-12,157,0.28668,2838,494974,0,vgc,Umbreon
2015-12,177,0.13440,2838,494974,1500,vgc,Umbreon
2015-12,184,0.04911,2838,494974,1630,vgc,Umbreon
2015-12,169,0.05111,2838,494974,1760,vgc,Umbreon
2016-01,112,1.24738,769,30826,0,vgc,Umbreon
2016-01,141,0.79899,769,30826,1500,vgc,Umbreon
2016-01,187,0.17970,769,30826,1630,vgc,Umbreon
2016-01,164,0.18648,769,30826,1760,vgc,Umbreon
2016-01,150,0.29786,3494,586521,0,vgc,Umbreon
2016-01,193,0.09625,3494,586521,1500,vgc,Umbreon
2016-01,257,0.01479,3494,586521,1630,vgc,Umbreon
